Ad Group Name,Campaign Name,Cost,Cost (Comparison),Clicks,Clicks (Comparison),Interactions,Interactions (Comparison)
AI Coding,Codespell US,$0.00,$532.12,0,235,0,235
AI coding,Mar US Codespell 2025,$343.42,$0.00,576,0,576,0
AI Coding,US Feb 2025,$167.89,$0.00,370,0,370,0
Design studio,Mar US Codespell 2025,$110.84,$0.00,223,0,223,0
SDLC,Codespell US,$0.00,$63.96,0,26,0,26
