Gender,Age Range,Impressions,Percent of known total
Male,18-24,749,24.57%
Male,25-34,826,27.10%
Male,35-44,480,15.75%
Male,45-54,210,6.89%
Male,55-64,47,1.54%
Male,65+,22,0.72%
Female,18-24,340,11.15%
Female,25-34,201,6.59%
Female,35-44,98,3.22%
Female,45-54,50,1.64%
Female,55-64,20,0.66%
Female,65+,5,0.16%
