Start Hour,Impressions
12 AM,635
1 AM,522
2 AM,588
3 AM,429
4 AM,461
5 AM,484
6 AM,503
7 AM,469
8 AM,685
9 AM,574
10 AM,553
11 AM,661
12 PM,665
1 PM,562
2 PM,479
3 PM,435
4 PM,397
5 PM,354
6 PM,319
7 PM,331
8 PM,329
9 PM,401
10 PM,453
11 PM,420
