Device,Cost,Impressions,Clicks
Computers,"$152,554.86","9,162,796","37,627"
Mobile phones,"$107,505.41","15,535,224","154,231"
Tablets,"$6,382.75","1,822,298","9,593"
TV screens,$484.45,"58,291",48
